,zipcode,category,name,rating,review
441,15135,Grocery,Greenock Deli,4.0,8
442,15063,American,The Tap Factory,4.0,15
443,15063,American,El Dorado Bar,4.5,3
444,15063,American,Main Street Tavern,4.0,1
445,15063,American,Two and a Fry,4.0,5
446,15063,American,Eat'n Park,2.0,7
447,15063,Bar,Bar,5.0,1
448,15063,Bar,Jim's Bar,5.0,1
449,15063,Bar,The Tap Factory,4.0,15
450,15063,Bar,El Dorado Bar,4.5,3
451,15063,Bar,Angelo's II,4.0,8
452,15063,Bar,Main Street Tavern,4.0,1
453,15063,Bar,Blaine Hill BBQ,5.0,1
454,15063,Grocery,Giant Eagle,2.0,1
455,15063,Grocery,Cox Market,4.0,1
456,15063,Grocery,Monongahela Foodland,1.0,1
457,15146,American,Hello Bistro,4.5,5
458,15146,American,Wooden Nickel,3.5,73
459,15146,American,Rosecliff Tavern,3.5,32
460,15146,American,Penn Station East Coast Subs,4.0,19
461,15146,American,Dad's Pub & Grub,4.5,159
462,15146,American,Gateway Grill,3.5,147
463,15146,American,Madison's Bar and Grill,3.0,6
464,15146,American,Max & Erma's,3.5,79
465,15146,American,Boston Market,4.0,6
466,15146,American,Denny's,3.5,36
467,15146,American,Wendy's,2.5,9
468,15146,American,Share Wine Lounge And Bistro,3.5,11
469,15146,American,Red Lobster,3.0,32
470,15146,American,Flamers,3.0,5
471,15146,American,Bob Evans,2.5,32
472,15146,American,Primanti Bros,3.5,126
473,15146,American,Outback Steakhouse,3.0,71
474,15146,American,Red Robin Gourmet Burgers,2.5,47
475,15146,American,Kings,3.5,16
476,15146,American,Eat'n Park,2.5,33
477,15146,American,TGI Fridays,2.5,53
478,15146,American,Tolerico's Restaurant,3.0,30
479,15146,Asian,Taipei Tokyo,4.0,122
480,15146,Asian,Asian Cuisine,4.5,4
481,15146,Asian,Golden Palace,4.5,34
482,15146,Asian,Fortune Star,3.0,55
483,15146,Asian,China Palace,3.5,34
484,15146,Asian,Panda Express,3.5,22
485,15146,Asian,China King,3.5,3
486,15146,Asian,Saga Hibachi Steakhouse & Sushi Bar,3.0,70
487,15146,Latin,Patron Mexican Grill,3.5,76
488,15146,Indian,Udipi Cafe,4.0,309
489,15146,Indian,Mintt Indian Cuisine,4.0,57
490,15146,Indian,India Garden,3.0,74
491,15146,Indian,Biryani House Kabab And Grill,4.0,14
492,15146,Bar,Dad's Pub & Grub,4.5,159
493,15146,Bar,Rosecliff Tavern,3.5,32
494,15146,Bar,James Street Tavern,4.0,10
495,15146,Bar,La Barbe,5.0,3
496,15146,Bar,Madison's Bar and Grill,3.0,6
497,15146,Bar,Wooden Nickel,3.5,73
498,15146,Bar,Strike Zone Pub,1.0,2
499,15146,Bar,Primanti Bros,3.5,126
500,15146,Bar,McDains,4.5,7
501,15146,Bar,Tolerico's Restaurant,3.0,30
502,15146,Bar,Share Wine Lounge And Bistro,3.5,11
503,15146,Bar,Golden Goblet,3.0,13
504,15146,Grocery,Giant Eagle,3.0,26
505,15146,Grocery,Asian Food Market  Bobae,4.5,5
506,15146,Grocery,Fair Price Market,4.5,2
507,15146,Grocery,Labriola's Italian Market,3.5,15
508,15146,Grocery,Patel Brothers,3.0,10
509,15146,Grocery,Sam's Club,3.0,15
510,15146,Grocery,GFS Marketplace,4.0,5
511,15146,Grocery,Patel Brothers,5.0,1
512,15146,Grocery,Aldi,4.5,3
513,15146,Grocery,Scozio's Family Supermarkets & Pastry Shoppes,4.0,1
514,15146,Grocery,Haymaker Village Shop & Save,1.0,2
515,15146,Grocery,Gordon Food Service Marketplace,5.0,1
516,15146,Grocery,Sheetz #327,3.5,2
517,15668,American,Juniper Grill - Murrysville,4.0,88
518,15668,American,First Watch,4.0,22
519,15668,American,Dick's Diner,4.0,68
520,15668,American,Murrysville Pizza,4.5,2
521,15668,American,Burgatory,4.0,136
522,15668,American,Crave Melt and Tap,3.5,77
523,15668,American,Bob's Inn,3.5,9
524,15668,American,Atria's Restaurant,3.5,77
525,15668,American,North Park Lounge,3.5,99
526,15668,American,Eat'n Park,3.5,8
527,15668,American,Applebee's Grill + Bar,2.5,18
528,15668,Asian,Asian Cafe,4.0,16
529,15668,Asian,Jade Garden Restaurant,3.5,25
530,15668,Asian,Hunan Kitchen,4.0,15
531,15668,Latin,Madero Cantina,4.0,75
532,15668,Bar,Crave Melt and Tap,3.5,77
533,15668,Bar,North Park Lounge,3.5,99
534,15668,Bar,Bob's Inn,3.5,9
535,15668,Bar,Juniper Grill - Murrysville,4.0,88
536,15668,Bar,Burgatory,4.0,136
537,15668,Bar,Applebee's Grill + Bar,2.5,18
538,15668,Bar,Atria's Restaurant,3.5,77
539,15668,Grocery,Shop 'N Save,2.5,2
540,15668,Grocery,Murrysville Shop'n Save Market,1.0,1
541,15668,Grocery,Ferri Family Pharmacy,3.0,7
542,15668,Grocery,Sheetz #204,3.5,13
543,15065,American,Saxon Inn,3.5,11
544,15065,American,Anchor Inn,3.5,20
545,15065,American,Eat'n Park,3.5,6
546,15065,American,Fortune Star Buffet & Grill,2.5,14
547,15065,American,Phillippi's Family Dining & Pizzeria,4.0,16
548,15065,American,American Family Hobbycraft,3.0,1
549,15065,American,American Legion Post 48,5.0,1
550,15065,Bar,Saxon Inn,3.5,11
551,15065,Bar,Phillippi's Family Dining & Pizzeria,4.0,16
552,15065,Grocery,Blackberry Meadows Farm,5.0,3
553,15065,Grocery,Community Super Market,2.5,3
554,15065,Grocery,Walmart Supercenter,2.5,4
555,15065,Grocery,Walmart Supercenter,2.5,2
556,15068,American,Harry's,5.0,1
557,15068,American,The Breakaway Bar and Grill,4.0,18
558,15068,American,Gunny's Lounge,4.0,10
559,15068,American,Elena Restaurant & Cafe,4.0,27
560,15068,American,Clark's Diner,4.5,3
561,15068,American,Kings,4.0,3
562,15068,American,Stella's Restaurant,4.0,17
563,15068,American,Denny's,3.5,14
564,15068,American,Wendy's,1.0,2
565,15068,American,Claudette's Kitchen,4.0,3
566,15068,American,Eat'n Park,2.5,4
567,15068,American,King's Family Restaurants,3.0,8
568,15068,American,Hanes Tavern,3.0,2
569,15068,American,Mogie's Restaurant & Irish Pub,2.5,8
