,zipcode,category,count,average_rating,average_review_count
686,16055,All Restaurants,0,,
687,16055,American,0,,
688,16055,Asian,0,,
689,16055,Latin,0,,
690,16055,Indian,0,,
691,16055,Bar,0,,
692,16055,Grocery,0,,
693,15143,All Restaurants,0,,
694,15143,American,0,,
695,15143,Asian,0,,
696,15143,Latin,0,,
697,15143,Indian,0,,
698,15143,Bar,0,,
699,15143,Grocery,0,,
700,15129,All Restaurants,0,,
701,15129,American,0,,
702,15129,Asian,0,,
703,15129,Latin,0,,
704,15129,Indian,0,,
705,15129,Bar,0,,
706,15129,Grocery,0,,
707,15144,All Restaurants,0,,
708,15144,American,0,,
709,15144,Asian,0,,
710,15144,Latin,0,,
711,15144,Indian,0,,
712,15144,Bar,0,,
713,15144,Grocery,0,,
714,15082,All Restaurants,0,,
715,15082,American,0,,
716,15082,Asian,0,,
717,15082,Latin,0,,
718,15082,Indian,0,,
719,15082,Bar,0,,
720,15082,Grocery,0,,
721,15084,All Restaurants,0,,
722,15084,American,0,,
723,15084,Asian,0,,
724,15084,Latin,0,,
725,15084,Indian,0,,
726,15084,Bar,0,,
727,15084,Grocery,0,,
728,15085,All Restaurants,0,,
729,15085,American,0,,
730,15085,Asian,0,,
731,15085,Latin,0,,
732,15085,Indian,0,,
733,15085,Bar,0,,
734,15085,Grocery,0,,
735,15145,All Restaurants,0,,
736,15145,American,0,,
737,15145,Asian,0,,
738,15145,Latin,0,,
739,15145,Indian,0,,
740,15145,Bar,0,,
741,15145,Grocery,0,,
742,16059,All Restaurants,0,,
743,16059,American,0,,
744,16059,Asian,0,,
745,16059,Latin,0,,
746,16059,Indian,0,,
747,16059,Bar,0,,
748,16059,Grocery,0,,
749,15147,All Restaurants,0,,
750,15147,American,0,,
751,15147,Asian,0,,
752,15147,Latin,0,,
753,15147,Indian,0,,
754,15147,Bar,0,,
755,15147,Grocery,0,,
756,15086,All Restaurants,0,,
757,15086,American,0,,
758,15086,Asian,0,,
759,15086,Latin,0,,
760,15086,Indian,0,,
761,15086,Bar,0,,
762,15086,Grocery,0,,
