"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"35173","AL","Birmingham-Hoover","Jefferson","Trussville",3724,894,0,-0.00111731843575419,-0.00111731843575419,161
2018-09-30,"55417","MN","Minneapolis-St. Paul-Bloomington","Hennepin","Minneapolis",3725,1443,0,0.00138792505204719,0.0448950036205648,1193
2018-09-30,"02143","MA","Boston-Cambridge-Newton","Middlesex","Somerville",3726,2397,0,0,-0.0676779463243874,6620
2018-09-30,"91321","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Santa Clarita",3727,2136,0.00140646976090014,0.00659754948162111,0.0108849976336962,4131
2018-09-30,"35802","AL","Huntsville","Madison","Huntsville",3728,805,0.00124378109452736,0,-0.026602176541717,1418
2018-09-30,"33912","FL","Cape Coral-Fort Myers","Lee","Fort Myers",3729,1730,-0.00402993667242372,-0.00802752293577982,0.0340705319784818,5195
2018-09-30,"46240","IN","Indianapolis-Carmel-Anderson","Marion","Indianapolis",3730,1148,-0.00260642919200695,-0.00777873811581677,-0.0128976784178848,833
2018-09-30,"33487","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach","Boca Raton",3731,2241,-0.00620842572062084,-0.0269214068606166,-0.0311284046692607,8850
2018-09-30,"98665","WA","Portland-Vancouver-Hillsboro","Clark","Hazel Dell North",3732,1230,0.00081366965012205,-0.00324149108589951,-0.0191387559808612,669
2018-09-30,"93704","CA","Fresno","Fresno","Fresno",3733,1133,-0.000881834215167548,-0.00176211453744493,0.0337591240875912,1527
2018-09-30,"08205","NJ","Atlantic City-Hammonton","Atlantic","Galloway",3734,1195,0,0.000837520938023451,-0.000836120401337793,3942
2018-09-30,"22310","VA","Washington-Arlington-Alexandria","Fairfax","Franconia",3735,2140,0,0,-0.0178981184029371,4343
2018-09-30,"94132","CA","San Francisco-Oakland-Hayward","San Francisco","San Francisco",3736,3450,0,0.000289939112786315,0.00847705349313066,760
2018-09-30,"95032","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","Los Gatos",3737,3577,-0.000837988826815642,-0.001953125,-0.0189248491497532,2332
2018-09-30,"93035","CA","Oxnard-Thousand Oaks-Ventura","Ventura","Oxnard",3738,2555,0.000783392087739914,0.00235386426049431,0.0339943342776204,3291
2018-09-30,"52804","IA","Davenport-Moline-Rock Island","Scott","Davenport",3739,832,0.00240963855421687,0.00970873786407767,0.077720207253886,482
2018-09-30,"06118","CT","Hartford-West Hartford-East Hartford","Hartford","East Hartford",3740,1216,-0.000821692686935086,-0.0040950040950041,-0.0272,927
2018-09-30,"06604","CT","Bridgeport-Stamford-Norwalk","Fairfield","Bridgeport",3741,1351,-0.00221565731166913,-0.00661764705882353,-0.0733882030178327,3537
2018-09-30,"33541","FL","Tampa-St. Petersburg-Clearwater","Pasco","Zephyrhills",3742,953,0.00105042016806723,0.00105042016806723,0.0325027085590466,474
2018-09-30,"28590","NC","Greenville","Pitt","Winterville",3743,801,0,0.00125,-0.00496894409937888,2071
2018-09-30,"15216","PA","Pittsburgh","Allegheny","Pittsburgh",3744,904,0.00221729490022173,0.00444444444444444,-0.0237580993520518,2073
2018-09-30,"63121","MO","St. Louis","Saint Louis","Northwoods",3745,742,0,0,-0.00934579439252336,288
2018-09-30,"82901","WY","Rock Springs","Sweetwater","Rock Springs",3746,1333,0,-0.000749625187406297,-0.00744601638123604,536
2018-09-30,"11510","NY","New York-Newark-Jersey City","Nassau","Baldwin",3747,2480,-0.000403063280935107,-0.00401606425702811,-0.0519877675840979,699
2018-09-30,"33909","FL","Cape Coral-Fort Myers","Lee","Cape Coral",3748,1243,0,0.0016116035455278,0.0230452674897119,1619
2018-09-30,"91791","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","West Covina",3749,2194,0.000912408759124088,-0.000455580865603645,0.00365965233302836,1391
2018-09-30,"01821","MA","Boston-Cambridge-Newton","Middlesex","Billerica",3750,1977,-0.00252270433905146,-0.00753012048192771,-0.0713950211366839,1444
2018-09-30,"22401","VA","Washington-Arlington-Alexandria","Spotsylvania","Fredericksburg",3751,1141,0,0.00087719298245614,-0.0214408233276158,1390
2018-09-30,"80222","CO","Denver-Aurora-Lakewood","Denver","Denver",3752,1349,0,-0.000740740740740741,0.0622047244094488,1486
2018-09-30,"19468","PA","Philadelphia-Camden-Wilmington","Montgomery","Limerick",3753,1344,-0.000743494423791822,-0.00148588410104012,0.00976709241172051,1475
2018-09-30,"59602","MT","Helena","Lewis and Clark","Helena",3754,1241,0,0.000806451612903226,0.00567260940032415,232
2018-09-30,"97212","OR","Portland-Vancouver-Hillsboro","Multnomah","Portland",3755,1594,-0.0012531328320802,-0.00808960796515246,-0.0645539906103286,903
2018-09-30,"19406","PA","Philadelphia-Camden-Wilmington","Montgomery","King of Prussia",3756,1540,-0.000648929266709929,0,0.0065359477124183,1468
2018-09-30,"43119","OH","Columbus","Franklin","Columbus",3757,1169,-0.000854700854700855,-0.00679694137638063,-0.0306799336650083,857
2018-09-30,"94598","CA","San Francisco-Oakland-Hayward","Contra Costa","Walnut Creek",3758,2245,-0.00222222222222222,-0.0101410934744268,-0.022638223770135,1119
2018-09-30,"46750","IN","Huntington","Huntington","Huntington",3759,695,-0.00286944045911047,-0.00572246065808297,-0.0197461212976023,144
2018-09-30,"55419","MN","Minneapolis-St. Paul-Bloomington","Hennepin","Minneapolis",3760,1581,0,0.00764818355640535,0.0186855670103093,763
2018-09-30,"72223","AR","Little Rock-North Little Rock-Conway","Pulaski","Little Rock",3761,958,-0.0093071354705274,-0.0293819655521783,-0.146927871772039,108
