"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-09-30,73501,"35546","AL","Tuscaloosa","Tuscaloosa","Berry",11552,89200,0.0056369785794814,0.0124858115777526,0.0799031476997579,,,"2010-02","2010-Q1",93400,-0.0449678800856531,"2009-08"
2018-09-30,61929,"10928","NY","New York-Newark-Jersey City","Orange","Highland Falls",11553,204400,-0.00146555935515388,0.00541072306935563,0.0402035623409669,,,"2007-05","2007-Q2",289500,-0.293955094991364,"2004-04"
2018-09-30,72081,"32580","FL","Crestview-Fort Walton Beach-Destin","Okaloosa","Valparaiso",11554,184100,0,0.00108754758020663,0.0550143266475645,,,"2006-02","2006-Q1",211900,-0.131193959414818,"2005-05"
2018-09-30,62946,"13084","NY","Syracuse","Onondaga","Lafayette",11555,165200,0.00854700854700855,0.0229102167182663,-0.0101857399640503,,,"2017-10","2017-Q4",167900,-0.0160810005955926,"2017-09"
2018-09-30,74310,"37336","TN","Cleveland","Bradley","Georgetown",11556,188400,0.00802568218298555,0.0272628135223555,0.109540636042403,,,"2018-09","2018-Q3",188400,0,"2018-09"
2018-09-30,62347,"12037","NY","Hudson","Columbia","Chatham",11557,221200,0.00408533817521562,0.0105070808588397,0.0293159609120521,,,"2007-09","2007-Q3",239400,-0.0760233918128655,"2005-05"
2018-09-30,82023,"54983","WI",,"Waupaca","Weyauwega",11558,141100,0.00427046263345196,0.00929899856938484,0.0498511904761905,,,"2018-09","2018-Q3",141100,0,"2018-09"
2018-09-30,59252,"03858","NH","Boston-Cambridge-Newton","Rockingham","Newton",11559,324200,0.00371517027863777,0.00965431329803799,0.0745773947630096,,,"2018-09","2018-Q3",324200,0,"2018-09"
2018-09-30,65463,"18419","PA","Scranton--Wilkes-Barre--Hazleton","Wyoming","Overfield",11560,171900,-0.0244040862656073,-0.018275271273558,0.106889890534449,,,"2018-07","2018-Q3",177500,-0.0315492957746479,"2018-04"
2018-09-30,75124,"39066","MS","Jackson","Hinds","Edwards",11561,110900,-0.0297462817147857,-0.121236133122029,-0.0497000856898029,,,"2018-06","2018-Q2",126200,-0.121236133122029,"2016-04"
2018-09-30,78223,"46710","IN","Kendallville","Noble","Avilla",11562,135700,0.0157185628742515,0.0446497305619707,0.101461038961039,,,"2018-09","2018-Q3",135700,0,"2018-09"
2018-09-30,94977,"85544","AZ","Payson","Gila","Pine",11563,242700,0.0074719800747198,0.0438709677419355,0.142655367231638,,,"2007-07","2007-Q3",279300,-0.131041890440387,
2018-09-30,80187,"50156","IA","Boone","Boone","Madrid",11564,165600,0.010989010989011,0.0253869969040248,0.0362953692115144,,,"2018-09","2018-Q3",165600,0,"2018-09"
2018-09-30,65709,"19029","PA","Philadelphia-Camden-Wilmington","Delaware","Tinicum",11565,134800,0.00898203592814371,0.0337423312883436,0.0353302611367127,,,"2008-04","2008-Q2",150400,-0.103723404255319,"2005-09"
2018-09-30,87596,"67456","KS","McPherson","McPherson","Lindsborg",11566,144100,0.00348189415041783,0.0162200282087447,0.0449601160261059,,,"2018-09","2018-Q3",144100,0,"2018-09"
2018-09-30,79863,"49676","MI","Traverse City","Kalkaska","Rapid City",11567,171900,0.0105820105820106,0.0293413173652695,0.00408878504672897,,,"2006-01","2006-Q1",205700,-0.164316966456004,"2004-05"
2018-09-30,83427,"57754","SD","Spearfish","Lawrence","Lead",11568,116700,0.00690250215703192,0.0291005291005291,0.00690250215703192,,,"2010-09","2010-Q3",130300,-0.104374520337682,"2010-04"
2018-09-30,69560,"27864","NC","Rocky Mount","Edgecombe","Pinetops",11569,51800,0.0216962524654832,0.0380761523046092,0.0593047034764826,,,"2016-06","2016-Q2",52100,-0.00575815738963532,"2016-05"
2018-09-30,71170,"30520","GA",,"Franklin","Canon",11570,133500,-0.00298730395817774,0.00300525920360631,0.117154811715481,,,"2018-07","2018-Q3",134300,-0.00595681310498883,"2018-07"
2018-09-30,99010,"97004","OR","Portland-Vancouver-Hillsboro","Clackamas","Beavercreek",11571,489500,0.00040874718986307,0.00658030022619782,0.0454933788979069,,,"2018-09","2018-Q3",489500,0,"2018-09"
2018-09-30,85864,"63019","MO","St. Louis","Jefferson","Crystal City",11572,132700,0.00454201362604088,0.0129770992366412,0.0565286624203822,,,"2007-06","2007-Q2",136800,-0.0299707602339181,"2006-12"
2018-09-30,64465,"16134","PA","Meadville","Crawford","Pymatuning Central",11573,85300,0.00471142520612485,0.00589622641509434,-0.00582750582750583,,,"2018-01","2018-Q1",90600,-0.0584988962472406,"2017-11"
2018-09-30,87791,"67951","KS",,"Stevens","Hugoton",11574,111300,0.0018001800180018,0,0,,,"2017-06","2017-Q2",114600,-0.0287958115183246,"2017-03"
2018-09-30,99084,"97114","OR","Portland-Vancouver-Hillsboro","Yamhill","Dayton",11575,279800,0.00502873563218391,0.0196793002915452,0.103747534516765,,,"2018-09","2018-Q3",279800,0,"2018-09"
2018-09-30,62321,"11976","NY","New York-Newark-Jersey City","Suffolk","Water Mill",11576,3346700,0.00798144690078911,0.0386059646836111,0.0771830441919598,,,"2018-09","2018-Q3",3346700,0,"2018-09"
2018-09-30,94951,"85377","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Carefree",11577,734300,0.00699396599012617,0.0147871752349364,0.00245733788395904,,,"2006-04","2006-Q2",848600,-0.134692434598162,"2005-06"
