"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"72104","AR","Malvern","Hot Spring","Malvern",4808,810,0,0.00247524752475248,-0.029940119760479,5427
2018-09-30,"76002","TX","Dallas-Fort Worth-Arlington","Tarrant","Arlington",4809,1689,0,0,0.0193120096560048,9846
2018-09-30,"04011","ME","Portland-South Portland","Cumberland","Brunswick",4810,1689,0,0.000592417061611374,-0.0326460481099656,6251
2018-09-30,"89044","NV","Las Vegas-Henderson-Paradise","Clark","Henderson",4811,1540,-0.000648929266709929,-0.0012970168612192,0,8866
2018-09-30,"98597","WA","Olympia-Tumwater","Thurston","Yelm",4812,1531,-0.000652741514360313,0.00196335078534031,0.0393754243041412,7047
2018-09-30,"17408","PA","York-Hanover","York","Shiloh",4813,1290,0,-0.000774593338497289,-0.00309119010819165,8004
2018-09-30,"33782","FL","Tampa-St. Petersburg-Clearwater","Pinellas","Pinellas Park",4814,1349,0.00148478099480327,0.00372023809523809,0.0258555133079848,7607
2018-09-30,"34772","FL","Orlando-Kissimmee-Sanford","Osceola","Saint Cloud",4815,1499,0,0.000667556742323097,0.026009582477755,7012
2018-09-30,"28037","NC","Charlotte-Concord-Gastonia","Lincoln","Denver",4816,1615,-0.00123685837971552,-0.00123685837971552,-0.014041514041514,8994
2018-09-30,"43607","OH","Toledo","Lucas","Toledo",4817,732,0.00136798905608755,0.00826446280991736,-0.00813008130081301,8294
2018-09-30,"55123","MN","Minneapolis-St. Paul-Bloomington","Dakota","Eagan",4818,2081,-0.00048030739673391,0,0.057956278596848,7725
2018-09-30,"21286","MD","Baltimore-Columbia-Towson","Baltimore","Towson",4819,1800,-0.00332225913621262,-0.0136986301369863,-0.0531299316149395,6859
2018-09-30,"68105","NE","Omaha-Council Bluffs","Douglas","Omaha",4820,1190,0,0.000841042893187553,-0.000839630562552477,11528
2018-09-30,"27597","NC","Raleigh","Wake","Zebulon",4821,1271,-0.000786163522012579,0.00157604412923562,0.0333333333333333,7993
2018-09-30,"73044","OK","Oklahoma City","Logan","Guthrie",4822,949,0.00105485232067511,0.00423280423280423,0.0895522388059701,6813
2018-09-30,"37138","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson","Nashville",4823,1548,0,0,0.0045425048669695,8544
2018-09-30,"29488","SC",,"Colleton","Walterboro",4824,1039,0.000963391136801541,0.000963391136801541,-0.0262417994376757,4923
2018-09-30,"27617","NC","Raleigh","Wake","Raleigh",4825,1601,-0.000624219725343321,-0.00373366521468575,-0.0231848688224527,5085
2018-09-30,"75078","TX","Dallas-Fort Worth-Arlington","Collin","Prosper",4826,2837,0.000352609308885755,-0.00211044671122054,-0.0264241592312972,5054
2018-09-30,"60467","IL","Chicago-Naperville-Elgin","Cook","Orland Park",4827,2170,-0.00229885057471264,-0.0068649885583524,-0.0211998195760036,9562
2018-09-30,"32821","FL","Orlando-Kissimmee-Sanford","Orange","Williamsburg",4828,1468,0.00204778156996587,0.00616860863605209,0.0530846484935438,7163
2018-09-30,"11803","NY","New York-Newark-Jersey City","Nassau","Plainview",4829,3239,0,-0.00123342584027135,0.00278637770897833,9158
2018-09-30,"91324","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4830,2956,0.0013550135501355,0.00237368599525263,0.00887372013651877,5794
2018-09-30,"01013","MA","Springfield","Hampden","Chicopee",4831,1448,0,0.000691085003455425,0.00138312586445367,4225
2018-09-30,"90272","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4832,9964,0.00392947103274559,0.0071767916708784,0.0131164209456024,8556
