"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"15211","Pittsburgh","PA","Pittsburgh","Allegheny County",482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099,995,1022.5,950,900,900,899.5,899,850,850,875,950,999,1125,1000,1020,999.5,950,1100
"77801","Bryan","TX","College Station-Bryan","Brazos County",483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,747.5,750,750,750,725,775,720,707.5,725,725,726,737,750,750,745,725,700,712.5,700,695
"02903","Providence","RI","Providence-Warwick","Providence County",484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1550,1550,1650,1650,1650,1650,1800,1650,1575,1550,1600,1600,1855,1800
"02120","Boston","MA","Boston-Cambridge-Newton","Suffolk County",485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3750,3600,3550,3500,3400,3500,3500,3500,3500,3600,3800,3800,3700,3600,3550,3600,3575,3600,3425,3325,3600
"12210","Albany","NY","Albany-Schenectady-Troy","Albany County",486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837.5,862.5,887.5,850,845,920,850,975,990,995,900,900,865,900,890
"10044","New York","NY","New York-Newark-Jersey City","New York County",487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2795,3000,2980,2828,2811.5,2810,3179.5,3178,2737.5,3133.5,3158.5,3192.5,3400,3295,2928.5
"02458","Newton","MA","Boston-Cambridge-Newton","Middlesex County",488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2600,2600,2500,2550,2550,2550,2550,2500,2600,2650,2500,2400,2400,2600,2400,2400,2400,2300
"65584","Saint Robert","MO","Fort Leonard Wood","Pulaski County",489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,850,805,835,835,750,750,775,795,775,775,750,750,750,785,775,775,775,775,745,692.5,712.5
"10280","New York","NY","New York-Newark-Jersey City","New York County",490,,,,,,,,,,,,,,,,,,3850,3675,3250,3475,3450,3487.5,3487.5,3295,3585,3500,3462.5,3400,3500,3500,3475,3525,3500,3375,3297.5,3200,3250,3250,3297.5,3200,3212.5,3250,3475,3495,3230,3300,3120,3400,3200,3200,3287.5,3350,3450,3435,3500,3700,3500,3440,3600,3492.5,3410,3352,3250,3350,3325,3260,3350,3150,3630,3600,3285,3490,3415,3075,3195,3197.5,3132.5,3300,3495,3402.5,3500,3550,3400,3338.5,3210,3302,3304.5,3304.5,3272.5,3250,3515,3445,3765,3900,3870,3650
"02111","Boston","MA","Boston-Cambridge-Newton","Suffolk County",491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790,2695,2450,2695,2525,2595,2850,3050,2860,3215.5,3354,3400,3500,3300,3400,3296.5,3528.5,3360,3400,3500,3397.5,2875,2875,3205,3200,3250,2900,3020,3100,3032.5,2978.5,3000,2971.5,2797,2900,3000,3100,3000,3000,2949,3130.5,3350,3300,3200,3250,3240
