"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"77077","Houston","TX","Houston-The Woodlands-Sugar Land","Harris",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2395,2750,2600,2775,2500,2500,2500,2490,2395,2650,2600,2650,2700,2800,2750,2712.5,2700,2800,2800,2700
"78245","San Antonio","TX","San Antonio-New Braunfels","Bexar",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380,1495,1495,1495,1495,1525,1575,1575,1575,1550,1500,1495,1485,1495,1525,1550,1575,1550,1550,1562.5,1550
"98052","Redmond","WA","Seattle-Tacoma-Bellevue","King",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3287.5,3250,3125,3150,3000,2995,2925,3100,3175,3175,3495,3395,3467.5,3400,3225,3100
"11221","New York","NY","New York-Newark-Jersey City","Kings",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3050,3195,3100,3100,3100,3150,3100,3149.5,3200,3185,3199,3100,3000,3133,3200,3200,3200,3200,3250,3350,3399,3400,3425,3349,3300,3266,3200,3290,3250,3400,3400,3400,3400,3400,3400,3480,3275,3335,3400,3299,3399,3400,3399,3399,3450,3395,3300,3390,3199,3390,3399,3399,3475,3499.5,3500,3400,3500,3450
"77379","Tomball","TX","Houston-The Woodlands-Sugar Land","Harris",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1897.5,1850,1897.5,1810,1895,1750,1750,1787.5,1800,1787.5,1800,1770,1750,1750,1837.5,1895,1995,1879,1829.5,1859,1859,1895,1925,1925,1959,1954,1954.5,1950,1997,1862.5,1895,1775,1795,1950,1895,1895,1897.5,1800,1995,1727.5,1750,1690,1699,1800,1797.5,1795,1899.5,1875,1800,1850,1897.5,1890,1800,1850,1797.5,1812.5,1800,1800,1875,1837,1872.5,1895,1899,1837
"30024","Suwanee","GA","Atlanta-Sandy Springs-Roswell","Gwinnett",26,,,,,,,1595,1600,1650,1595,1600,1595,1600,1600,1500,1572.5,1650,1685,1650,1650,1650,1700,1624.5,1600,1595,1650,1600,1650,1650,1695,1672.5,1600,1650,1680,1700,1774.5,1750,1747.5,1747,1700,1695,1700,1772.5,1825,1800,1794.5,1750,1750,1700,1750,1799,1799.5,1812.5,1800,1812.5,1750,1750,1850,1800,1900,1895,1850,1800,1850,1825,1807.5,1795,1850,1850,1800,1900,1799.5,1850,1850,1850,1893,1900,1943,1900,1896.5,1900,1945,1950,1950,1895,1892.5,1872.5,1950,1900,1900,1900,1945,1887.5
"60619","Chicago","IL","Chicago-Naperville-Elgin","Cook",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1300,1400,1400,1350,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1300,1300,1300,1275
"33411","Royal Palm Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2300,2297,2300,2412.5,2350,2300,2300,2250,2258,2352.5,2400,2500,2490,2350,2500,2425,2450,2500,2423,2406.5
"28027","Concord","NC","Charlotte-Concord-Gastonia","Cabarrus",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1500,1500,1540,1550,1625,1650,1585,1595,1550,1595,1670,1702.5,1725,1672.5,1650,1695,1695,1685,1647.5
"97229","Portland","OR","Portland-Vancouver-Hillsboro","Multnomah",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.5,2400,2350,2495,2599,2672.5,2595,2495,2350,2300,2395,2395,2372.5,2350,2300,2595,2595,2497.5,2495,2495,2395
"11385","New York","NY","New York-Newark-Jersey City","Queens",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3400,3500,3500,3500,3550,3495,3400,3400,3500,3595,3450,3499.5,3100,3349.5,3300,3200,3399,3400,3400,3500,3500,3350,3350,3500,3450,3302,3300,3295,3350,3400,3400,3400,3400
"77459","Missouri City","TX","Houston-The Woodlands-Sugar Land","Fort Bend",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2197.5,2200,2095,2100,2050,1997.5,2050,1997.5,1997.5,1975,1975,1950,1950,1950,1950,2195,2100,2000,2125,2000,1995
