"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01354","Gill","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,2.77419787890992,0,,,213900,-0.372612948299953,-3.168854685378,0.173997194950912,,0.0447761194029851,0,84
"Zip","01360","Northfield","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,2.88159484494563,100,,,220300,-0.181241504304486,-0.451875282422051,0.163599636858829,,0.0428571428571429,0.0555555555555556,84
"Zip","01364","Orange","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,0.529601288763592,100,,,151000,0.13262599469496,1.34228187919463,,,0.0829450139794967,0.0786516853932584,84
"Zip","01370","Shelburne","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,2.6607598335347,100,,,249300,-0.359712230215827,1.21802679658952,0.155294825511432,,0.0364238410596027,0.0909090909090909,84
"Zip","01373","South Deerfield","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,2.1452543965633,66.67,,,271200,-0.0368595650571323,0.18470631695604,0.13804203539823,,0.034375,0.0454545454545455,84
"Zip","01375","Sunderland","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,5.87998389045509,100,,,300400,0.0333000333000333,-0.430891614186278,0.129926764314248,,0.0294117647058824,0,84
"Zip","01376","Turners Falls","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,3.05410122164049,100,,,183800,-0.162954915806627,-1.39484978540773,0.198286180631121,,0.0345528455284553,0.0588235294117647,84
"Zip","01420","Fitchburg","MA","Worcester, MA, MA","Worcester, MA",,0.279903342730568,100,0.0625,9.11,,,,,,0.0821350231537899,0.127596439169139,68.5
"Zip","01431","Ashby","MA","Boston, MA, MA","Boston, MA",,6.08672305007384,,,,271500,0.369685767097967,2.80196895115487,0.13344014732965,,0.043630017452007,0.12,64
"Zip","01432","Ayer","MA","Boston, MA, MA","Boston, MA",,7.12713115854477,33.33,0,0,322100,1.03513174404015,13.0572130572131,0.148956845700093,,0.0452380952380952,0.0701754385964912,64
"Zip","01440","Gardner","MA","Worcester, MA, MA","Worcester, MA",,0.0530272519801316,87.5,0.125,6.55,,,,,,0.0864197530864197,0.0904761904761905,63
"Zip","01450","Groton","MA","Boston, MA, MA","Boston, MA",,5.3792455363136,88.89,0.04,0,465900,0.539490720759603,3.99553571428571,0.0879223009229448,,0.0427122263747998,0.025,80
"Zip","01453","Leominster","MA","Worcester, MA, MA","Worcester, MA",,0.722244596590146,80,0.0192,1.98,,,,,,0.0544528368171439,0.0709677419354839,64
"Zip","01460","Littleton","MA","Boston, MA, MA","Boston, MA",,7.55134917438582,100,0,0,466800,0.21468441391155,5.0641458474004,0.0980034275921164,,0.0282021151586369,0,64
"Zip","01462","Lunenburg","MA","Worcester, MA, MA","Worcester, MA",,4.60128876359243,100,0,0,,,,,,0.0424028268551237,0.0714285714285714,77.5
"Zip","01463","Pepperell","MA","Boston, MA, MA","Boston, MA",,5.18123238018526,66.67,0,2.94,344200,0.525700934579439,6.49752475247525,0.11658047646717,,0.0410888546481767,0.0125,69
"Zip","01464","Shirley","MA","Boston, MA, MA","Boston, MA",,7.52248623976373,66.67,,,332100,0.666868748105486,8.38772845953003,0.107338151159289,,0.0420609884332282,0.05,64
"Zip","01469","Townsend","MA","Boston, MA, MA","Boston, MA",,5.90079205262451,100,,,287700,0.629590766002099,6.12320177056437,0.120163364615919,,0.0364166059723234,0.1,67
"Zip","01473","Westminster","MA","Worcester, MA, MA","Worcester, MA",,0.494697274801987,81.82,0.0625,3.6,,,,,,0.0594262295081967,0.103448275862069,71
"Zip","01474","Townsend","MA","Boston, MA, MA","Boston, MA",,5.77325815545711,100,,,292200,0.585197934595525,5.14573587621447,0.128439425051335,,0.0364963503649635,0.0666666666666667,67
"Zip","01475","Winchendon","MA","Worcester, MA, MA","Worcester, MA",,1.49080413478319,100,0.2353,0,,,,,,0.0608414239482201,0.117021276595745,71
"Zip","01501","Auburn","MA","Worcester, MA, MA","Worcester, MA",,3.96026312256679,93.75,0,0,,,,,,0.0523903077930583,0.08125,70
"Zip","01504","Blackstone","MA","Worcester, MA, MA","Worcester, MA",,1.88213182977581,100,0.0769,0,,,,,,0.054354944335298,0.108433734939759,71
"Zip","01507","Charlton","MA","Worcester, MA, MA","Worcester, MA",,1.59350248355484,100,0,2.39,,,,,,0.0558307068887888,0.0806451612903226,72
"Zip","01510","Clinton","MA","Worcester, MA, MA","Worcester, MA",,1.25050342327829,100,0,6.03,,,,,,0.0647795318454001,0.0336134453781513,64
"Zip","01516","Douglas","MA","Worcester, MA, MA","Worcester, MA",,2.44596590146328,100,0,3.54,,,,,,0.0429564118761845,0.0882352941176471,71
"Zip","01520","Holden","MA","Worcester, MA, MA","Worcester, MA",,3.07289569069674,100,0.0286,1.84,,,,,,0.042027590632018,0.0610687022900763,71
"Zip","01521","Holland","MA","Springfield, MA, MA","Springfield, MA",,4.25426231708954,100,,,215300,0.654511453950444,9.0126582278481,0.0520993961913609,,0.0998116760828625,0.0754716981132075,73
"Zip","01527","Millbury","MA","Worcester, MA, MA","Worcester, MA",,4.5482615116123,100,0,0,,,,,,0.05789213260762,0.094017094017094,74
"Zip","01532","Northborough","MA","Worcester, MA, MA","Worcester, MA",,4.78654853000403,81.82,0.037,0,,,,,,0.0350118017309205,0,70.5
"Zip","01540","Oxford","MA","Worcester, MA, MA","Worcester, MA",,1.43979057591623,85.71,0,0,,,,,,0.0526834071885771,0.0841121495327103,63.5
"Zip","01543","Rutland","MA","Worcester, MA, MA","Worcester, MA",,5.63229963753524,100,0,0,,,,,,0.0490196078431373,0.0666666666666667,73.5
"Zip","01545","Shrewsbury","MA","Worcester, MA, MA","Worcester, MA",,5.76654584507988,100,0,0,,,,,,0.0389098081405774,0.0230414746543779,63
"Zip","01550","Southbridge","MA","Worcester, MA, MA","Worcester, MA",,0.661162572157337,,0,0,,,,,,0.0813810110974106,0.204545454545455,76
"Zip","01562","Spencer","MA","Worcester, MA, MA","Worcester, MA",,0.600080547724527,100,0.0833,3.12,,,,,,0.083028083028083,0.0882352941176471,71
"Zip","01564","Sterling","MA","Worcester, MA, MA","Worcester, MA",,3.45348368908578,50,0,0,,,,,,0.058498023715415,0.0135135135135135,71
"Zip","01569","Uxbridge","MA","Worcester, MA, MA","Worcester, MA",,0.628943482346624,66.67,0.2222,2.32,,,,,,0.0322709163346614,0.0864197530864198,73
"Zip","01570","Webster","MA","Worcester, MA, MA","Worcester, MA",,1.36864008591757,87.5,0.1111,114.94,,,,,,0.068288119738073,0.0547945205479452,81
"Zip","01571","Dudley","MA","Worcester, MA, MA","Worcester, MA",,0.66183380319506,83.33,0.0667,9.14,,,,,,0.0512820512820513,0.0543478260869565,71
"Zip","01581","Westborough","MA","Worcester, MA, MA","Worcester, MA",,7.75271848570278,100,0.0435,0,,,,,,0.0302583025830258,0.0121951219512195,78
"Zip","01588","Northbridge","MA","Worcester, MA, MA","Worcester, MA",,0.383944153577661,77.78,0,3.89,,,,,,0.0576158940397351,0.0804597701149425,62
"Zip","01590","Sutton","MA","Worcester, MA, MA","Worcester, MA",,1.92039199892603,87.5,0,3.16,,,,,,0.0486153846153846,0.0632911392405063,71
"Zip","01602","Worcester","MA","Worcester, MA, MA","Worcester, MA",,0.745066451872735,85.71,0.0312,5.21,,,,,,0.0705433746425167,0.0585585585585586,70
"Zip","01603","Worcester","MA","Worcester, MA, MA","Worcester, MA",,0.0416163243388374,50,0.1429,5.98,,,,,,0.127648017381858,0.0680851063829787,70.5
"Zip","01604","Worcester","MA","Worcester, MA, MA","Worcester, MA",,0.155725600751779,71.43,0.0682,3.09,,,,,,0.113557722554262,0.0858725761772853,69.5
"Zip","01605","Worcester","MA","Worcester, MA, MA","Worcester, MA",,0.36246476037052,100,0.0714,0,,,,,,0.101141924959217,0.0645161290322581,61
"Zip","01606","Worcester","MA","Worcester, MA, MA","Worcester, MA",,0.537656061216271,100,0.1034,5.45,,,,,,0.0586340206185567,0.120879120879121,62
"Zip","01607","Worcester","MA","Worcester, MA, MA","Worcester, MA",,0.00671231037723184,50,0.3333,22.22,,,,,,0.140825035561878,0.0808080808080808,67
"Zip","01609","Worcester","MA","Worcester, MA, MA","Worcester, MA",,0.813532017720499,100,0,6.85,,,,,,0.103474903474903,0.0671641791044776,74
"Zip","01610","Worcester","MA","Worcester, MA, MA","Worcester, MA",,0.964559001208216,100,0,0,,,,,,0.214854111405836,0.0493827160493827,67
"Zip","01701","Framingham","MA","Boston, MA, MA","Boston, MA",,6.81567995704121,89.47,0,0.94,448700,0.290567724631203,3.33947489636112,0.0942790283039894,,0.0354306658521686,0.00574712643678161,55
"Zip","01702","Framingham","MA","Boston, MA, MA","Boston, MA",,2.59900657806417,87.5,0.0278,1.69,,,,,,0.075583864118896,0.050561797752809,63
"Zip","01720","Acton","MA","Boston, MA, MA","Boston, MA",,5.76520338300443,88.24,0,1.38,578300,0.121191135734072,3.13893347601213,0.067959536572713,,0.0404362862463421,0.0131578947368421,76
"Zip","01721","Ashland","MA","Boston, MA, MA","Boston, MA",,3.16284064975164,100,0,3.49,,,,,,0.0390516039051604,0.0446428571428571,63
"Zip","01730","Bedford","MA","Boston, MA, MA","Boston, MA",,5.79876493489059,100,0,0,686300,0.131310183834257,1.5837773830669,0.0729841177327699,,0.0286011440457618,0,65
"Zip","01741","Carlisle","MA","Boston, MA, MA","Boston, MA",,4.25493354812727,75,,,783700,-0.012758356723654,1.73958198104635,0.0375730509123389,,0.0248756218905473,0,64
"Zip","01742","Concord","MA","Boston, MA, MA","Boston, MA",,6.87206336420996,90,0,0,923300,0.184461805555556,5.76174112256586,0.0576800606520091,,0.0261804581580178,0.0178571428571429,79
"Zip","01746","Holliston","MA","Boston, MA, MA","Boston, MA",,4.47979594576453,100,0,2.06,447700,-0.222866057499443,3.87470997679814,0.076392673665401,,0.0324675324675325,0.0222222222222222,70
"Zip","01748","Hopkinton","MA","Boston, MA, MA","Boston, MA",,4.94294536179353,91.67,0.0294,0,584600,0.394985402713378,3.57902197023388,0.0772955867259664,,0.0360721442885772,0.0462962962962963,76
"Zip","01749","Hudson","MA","Boston, MA, MA","Boston, MA",,3.53940126191435,91.67,0.0303,3.46,371500,0.0269251480883145,4.03248389806777,0.101090174966353,,0.0341307814992026,0.0186915887850467,64
"Zip","01752","Marlborough","MA","Boston, MA, MA","Boston, MA",,2.90710162437911,92.86,0.0233,2.1,356700,0.196629213483146,6.00297176820208,0.100843846369498,,0.0452348733810168,0.0598290598290598,59
"Zip","01754","Maynard","MA","Boston, MA, MA","Boston, MA",,6.25922942676869,100,0,3.1,386400,0.103626943005181,6.27062706270627,0.0774430641821946,,0.0273694880892043,0,63
"Zip","01757","Milford","MA","Worcester, MA, MA","Worcester, MA",,3.32192240569204,95,0.0213,4.02,,,,,,0.0560885608856089,0.0394736842105263,72
"Zip","01760","Natick","MA","Boston, MA, MA","Boston, MA",,6.92576184722782,96.3,0,0,574400,0.139470013947001,5.74374079528719,0.0754787604456824,,0.0371669004207574,0.00943396226415094,64
"Zip","01770","Sherborn","MA","Boston, MA, MA","Boston, MA",,4.03141361256545,100,,,795100,-0.100515140092977,2.35581874356334,0.0458961136963905,,0.0430416068866571,0.0333333333333333,64
"Zip","01772","Southborough","MA","Worcester, MA, MA","Worcester, MA",,4.52543965632971,83.33,0,3.32,,,,,,0.039544235924933,0,71
"Zip","01773","Lincoln","MA","Boston, MA, MA","Boston, MA",,5.73634044838233,100,,,1070800,0.0747663551401869,3.12018489984592,0.0309787075084049,,0.035230352303523,0,64
"Zip","01775","Stow","MA","Boston, MA, MA","Boston, MA",,7.05866559269701,100,,,506000,0.676482292081178,3.7310373103731,0.084494071146245,,0.0310650887573964,0.0952380952380952,64
